Code,Omschrijving,Familienaam,Familie,Voorraad Begin,Commentaar,Cat. 1,Cat. 2,Cat. 3,"Prijs
Verlies of
kapot",,Invulsheet,,,,,
001,Kookpot dia 40cm H 37cm (N° 1),Kookmateriaal,1,1,,- € ,- € ,- € ,- € ,,,,Familie-naam,,Familie-index,
002,Kookpot dia 37cm H 36cm (N° 2),Kookmateriaal,1,5,,- € ,- € ,- € ,- € ,,Err:508,,,,,
003,Kookpot dia 40cm H 25cm (N° 3),Kookmateriaal,1,2,1 zonder deksel,- € ,- € ,- € ,- € ,,Err:508,,Kookmateriaal,FA 01,2,1
004,Kookpot dia 42cm H 21cm (N° 4),Kookmateriaal,1,2,,- € ,- € ,- € ,- € ,,Err:508,,Eetmateriaal,FA 02,3,2
005,Kookpot dia 40cm H 26cm (N° 5),Kookmateriaal,1,1,,- € ,- € ,- € ,- € ,,Err:508,,Klimmateriaal,FA 03,4,3
006,Kookpot dia 44cm H 37cm (N° 6),Kookmateriaal,1,1,,- € ,- € ,- € ,- € ,,Err:508,,Elektrischmateriaal,FA 04,5,4
007,Kookpot dia 36cm H 20cm (N° 7),Kookmateriaal,1,1,Zonder deksel,- € ,- € ,- € ,- € ,,Err:508,,Klank & Licht materiaal,FA 05,6,5
008,Kookpot dia 47cm H 43cm (N° 8),Kookmateriaal,1,1,,- € ,- € ,- € ,- € ,,Err:508,,Fluomateriaal,FA 06,7,6
009,Kookpot dia 45cm H 26cm (N° 9),Kookmateriaal,1,1,,- € ,- € ,- € ,- € ,,Err:508,,Kuismateriaal,FA 07,8,7
010,Kookpot dia 26cm H 15cm (N° 10),Kookmateriaal,1,2,,- € ,- € ,- € ,- € ,,Err:508,,Sportmateriaal,FA 08,9,8
011,Kookpot dia 26cm H 12cm (N° 11),Kookmateriaal,1,1,,- € ,- € ,- € ,- € ,,Err:508,,Kampeermateriaal,FA 09,10,9
012,Kookpot dia 29cm H 16cm (N° 12),Kookmateriaal,1,1,,- € ,- € ,- € ,- € ,,Err:508,,Gereedschap,FA 10,11,10
013,Kookpot dia 30cm H 19 cm (N° 13),Kookmateriaal,1,1,,- € ,- € ,- € ,- € ,,Err:508,,Bureelmateriaal,FA 11,12,11
014,Kookpot dia 29cm H 18 cm (N° 14),Kookmateriaal,1,2,Zonder deksel,- € ,- € ,- € ,- € ,,Err:508,,Paintball materiaal,FA 12,13,12
015,"Kookpot email dia 37cm H 14,5cm (N° 15)",Kookmateriaal,1,2,,- € ,- € ,- € ,- € ,,Err:508,,Zeepkist materiaal,FA 13,14,13
016,Kookpot email dia 35cm H 21cm (N° 16),Kookmateriaal,1,1,,- € ,- € ,- € ,- € ,,Err:508,,Shelter,FA 14,15,14
017,Kookpot email dia 28cm H 17cm (N° 17),Kookmateriaal,1,1,Zonder deksel,- € ,- € ,- € ,- € ,,Err:508,,Belletax,FA 15,16,15
018,Braadpan dia 27cm,Kookmateriaal,1,4,,- € ,- € ,- € ,- € ,,Err:508,,Allerlei,FA 16,17,16
019,Braadpan dia 28cm,Kookmateriaal,1,6,,- € ,- € ,- € ,- € ,,Err:508,,Drank,FA 17,18,17
020,Pannekoekenpan dia 24cm,Kookmateriaal,1,2,,- € ,- € ,- € ,- € ,,Err:508,,,,,
021,Braadpan dia 35cm,Kookmateriaal,1,1,,- € ,- € ,- € ,- € ,,Err:508,,,,,
022,Braadpan dia 39cm,Kookmateriaal,1,1,,- € ,- € ,- € ,- € ,,Err:508,,,,,
023,Wokpan dia 28cm,Kookmateriaal,1,1,,- € ,- € ,- € ,- € ,,Err:508,,,,,
024,Sauspan dia 22cm,Kookmateriaal,1,1,,- € ,- € ,- € ,- € ,,Err:508,,,,,
025,Sauspan dia 16cm,Kookmateriaal,1,2,,- € ,- € ,- € ,- € ,,Err:508,,,,,
